birthYear, deathYear, genre 
1936,2011,Opera
1936,2011,Türkü
1945,1997,Tango music
1945,1997,Turkish folk music
1945,1997,Turkish pop music
1896,1986,Blues
1896,1986,Boogie-woogie
1908,1983,Flamenco
1908,1983,Copla (music)
1937,1997,Folk music
1937,1997,Folk rock
1937,1997,Jazz
1934,1984,Traditional pop music
1934,1984,Jazz
1934,1984,Haole
1898,1981,Classic female blues
1939,2010,Gospel music
1939,2010,Jazz
1929,2012,Musical theatre
1929,2012,Symphony
1929,2012,Pops orchestra
1921,2009,Gospel music
1866,1934,Torch song
1866,1934,Chanson réaliste
1921,2000,Ranchera
1921,2000,Norteño (music)
1921,2000,Corrido
1934,1993,Jazz
1922,1998,Traditional pop music
1926,1994,Folk music
1926,1994,Opera
1926,1994,Easy listening
1926,1994,Romantic music
1926,1994,Middle of the road (music)
1926,1994,Martial music
1926,1994,Russian traditional music
1942,1997,Folk music
1942,1997,Reggae
1942,1997,Calypso music
1942,1997,Freak folk
1942,1997,Music of Africa
1975,2013,Reggae
1975,2013,Roots reggae
1975,2013,Music of Ethiopia
1937,2011,Classical music
1980,2015,Finnish hip hop
1999,2013,Folk rock
1960,1997,Jazz
1946,2012,Pop music
1918,2004,Music of Lebanon
1919,1998,Levenslied
1874,1952,Jewish music
1958,2013,Noise music
1958,2013,Experimental music
1911,2000,Country music
1915,2009,Big band
1915,2009,Swing music
1915,2009,Jazz
1948,1973,Rock music
1905,1994,Music of Morocco
1905,1994,Malhun
1868,1913,Hindustani classical music
1868,1913,Agra gharana
1938,2007,Blues
1938,2007,Rock and roll
1938,2007,Rhythm and blues
1979,2008,Kwaito
1953,2011,Experimental rock
1947,2011,Pop music
1891,1943,Jazz
1947,2013,Rhythm and blues
1947,2013,Soul music
1959,2004,Folk music
1959,2004,World music
1922,1990,Blues
1922,1990,Texas blues
1921,1969,Bolero
1927,2011,Jazz
1878,1956,Musical theatre
1913,2008,Cajun music
1929,1979,Jazz
1927,2010,Jazz
1906,1976,Merengue music
1952,2009,Popular_Dominican_Music
1901,1991,Bolero_(music)
1925,1987,Electric blues
1925,1987,Texas blues
1927,1992,Country music
1927,1992,Rockabilly
1847,1893,Minstrel show
1941,1976,Chicago blues
1941,1976,Electric blues
1931,2009,Pop music
1931,2009,Rock and roll
1931,2009,Rhythm and blues
1931,2009,Soul music
1931,2009,Doo-wop
1942,2006,Jazz fusion
1942,2006,Experimental rock
1936,1993,Blues
1936,1993,Rock music
1936,1993,Soul music
1936,1993,Gospel music
1936,1993,Chicago blues
1936,1993,Jazz
1946,2009,Punk rock
1946,2009,Rock and roll
1942,2009,Funk
1942,2009,Soul music
1942,2009,Jazz fusion
1942,2009,Jazz
1949,2007,Pop music
1953,2014,Blues
1932,2011,Chicago blues
1932,2011,Electric blues
1932,2011,Soul blues
1946,1994,Rhythm and blues
1946,1994,Soul music
1946,1994,Chicago blues
1946,1994,Electric blues
1946,1994,Soul blues
1918,1970,Chicago blues
1915,1976,Blues
1901,1978,Hindustani classical music
1959,1983,Reggae
1936,2011,Chicago blues
1936,2011,Electric blues
1927,2011,Big band
1927,2011,Instrumental
1927,2011,Jazz
1927,2011,Easy listening
1898,1979,Music of Puerto Rico
1928,1977,Blues
1914,1991,Music of Punjab
1916,2005,Classical music
1931,1992,Rhythm and blues
1931,1992,Soul music
1956,1985,Contemporary classical music
1934,1990,Blues
1934,1990,Pop music
1934,1990,Rhythm and blues
1934,1990,Gospel music
1934,1990,Jazz
1928,2005,Jazz
1938,2012,Country and Irish
1928,1983,Rock and roll
1928,1983,Rhythm and blues
1936,1994,Electric blues
1936,1994,Texas blues
1936,1994,Soul blues
1951,2011,Rhythm and blues
1951,2011,Soul blues
1951,2011,New Orleans blues
1940,2010,Country music
1948,2012,Rock music
1952,2014,Hip hop music
1907,2002,Big band
1953,2006,Punk rock
1953,2006,Rock music
1967,2006,Pop music
1967,2006,Rock music
1967,2006,Pop rock
1967,2006,Electronic rock
1942,1992,Pop music
1957,2006,Jazz
1957,2006,Classical music
1907,1968,Cajun music
1922,2007,Country music
1956,2007,Rock music
1956,2007,Progressive rock
1956,2007,Hard rock
1956,2007,Instrumental rock
1956,2007,Folk rock
1956,2007,New-age music
1956,2007,Electronic music
1956,2007,Classical music
1928,2013,Music of Latin America
1928,2013,Vallenato
1977,2006,Kwaito
1977,2006,Hip hop music
1952,1994,Rhythm and blues
1952,1994,Pub rock (United Kingdom)
1920,1961,Traditional pop music
1941,1997,Rhythm and blues
1941,1997,Soul music
1916,2007,Big band
1916,2007,Swing music
1920,2007,Chicago blues
1937,1993,Chicago blues
1937,1993,Electric blues
1986,2010,Reggaeton
1986,2010,Hip hop music
1890,1987,Country music
1890,1987,Vaudeville
1923,2006,Swing music
1923,2006,Boogie-woogie
1923,2006,Nashville sound
1923,2006,Space age pop
1923,2006,Easy listening
1923,1995,Mambo (music)
1923,1995,Bebop
1923,1995,Swing music
1923,1995,Afro-Cuban jazz
1923,1995,Jazz
1904,1991,Film score
1893,1976,Big band
1893,1976,Jazz
1888,1949,Film score
1906,1969,Jazz
1904,1980,Cajun music
1898,1950,Jazz
1906,1993,Rock and roll
1906,1993,Rhythm and blues
1906,1993,Jazz
1921,2010,Jazz
1921,2010,Classical music
1910,1976,Classical music
1917,1988,Western swing
1917,1987,Blues
1920,2009,Jazz
1875,1962,Classical music
1943,2013,Funk
1928,2009,Rhythm and blues
1928,2009,Jazz
1936,2010,Country music
1936,2010,Bluegrass music
1936,2010,Traditional bluegrass
1923,1958,Blues
1915,1988,Cajun music
1902,1996,Big band
1902,1996,Jazz
1887,1942,Ragtime
1887,1942,Vaudeville
1959,1998,Blues
1920,1990,Electric blues
1920,1990,Texas blues
1892,1959,Close and open harmony
1936,1994,Jazz
1935,1997,Rhythm and blues
1891,1967,Mandopop
1891,1967,Shidaiqu
1933,1995,Folk music of Ireland
1895,1964,Danza
1934,1975,Kaseko
1969,2010,Electric blues
1902,1978,Country blues
1902,1978,Classic female blues
1902,1978,Gospel blues
1937,2013,Doo-wop
1928,2010,Schlager music
1917,1985,Appalachian music
1917,1990,Bolero
1917,1990,Son (music)
1917,1990,Guaracha
1940,1987,Rock music
1940,1987,Jazz fusion
1940,1987,Jazz
1926,1980,Pop music
1926,1980,Rhythm and blues
1938,2014,Cabaret
1938,2014,Broadway theatre
1938,2014,Show tune
1949,2010,Country music
1944,1972,Soul music
1922,2013,Classical music
1922,2013,Jazz flute
1911,2014,Jazz
1964,2011,Punk rock
1926,2008,Traditional pop music
1934,2008,Chicago blues
1934,2008,Electric blues
1899,1981,Texas blues
1964,2002,Memphis blues
1964,2002,Electric blues
1964,2002,Soul blues
1922,2014,Rhythm and blues
1924,1964,Blues
1933,2000,Chicago blues
1939,2010,Chicago blues
1931,1989,New Orleans blues
1941,2013,Pop music
1941,2013,Rock and roll
1931,2013,Rhythm and blues
1931,2013,Boogie-woogie
1931,2013,Jump blues
1922,1987,Chicago blues
1844,1927,Danza
1931,2012,Reggae
1931,2012,Ska
1931,2012,Rocksteady
1896,1978,Appalachian music
1938,2012,Reggae
1938,2012,Ska
1931,2011,Reggae
1931,2011,Ska
1931,2011,Rocksteady
1923,2007,Rhythm and blues
1923,2007,Jazz
1977,2006,Alternative rock
1931,2010,Folk music
1931,2010,Schlager music
1931,1992,Southern gospel
1928,1995,Swamp blues
1931,2016,Electric blues
1931,2016,Texas blues
1973,2013,Gangsta rap
1973,2013,Southern hip hop
1973,2013,Crunk
1973,2013,Horrorcore
1973,2013,Hip hop music
1950,1994,Peruvian_Cumbia
1920,1982,Bolero
1929,2001,Vocal jazz
1977,2009,Folk music
1931,1983,Rhythm and blues
1931,1983,Soul music
1928,2001,Jazz
1949,2012,Rock music
1949,2012,Boogie-woogie
1949,2012,Blues rock
1917,1971,Jazz
1944,2012,Blues
1944,2012,Soul music
1934,1977,Pop music
1934,1977,Rock music
1934,1977,Symphonic rock
1934,1977,Hard rock
1928,2007,Country music
1931,1984,Rhythm and blues
1931,1984,Soul music
1951,1997,Funk
1951,1997,Rhythm and blues
1758,1848,Classical music
1911,1978,Dixieland
1911,1978,Trad jazz
1882,1937,Music of Hawaii
1852,1944,Drama
1937,1980,Pop music
1937,2004,Blues
1937,2004,Funk
1937,2004,Rhythm and blues
1937,2004,Jazz
1960,2009,Lovers rock
1892,1977,Classical music
1932,2012,Blues
1929,1992,Gypsy jazz
1929,1992,Romani music
1929,1992,Continental jazz
1887,1972,Jazz
1887,1972,Twelve-bar blues
1909,1997,Electric blues
1962,2014,Alternative rock
1950,1983,Minimal music
1934,1987,Soukous
1934,1987,Congolese rumba
1873,1928,Classical music
1921,1998,Traditional pop music
1921,1998,Opera
1921,1998,Show tune
1934,2006,Schlager music
1945,2006,Classical music
1929,2008,Playback singer
1911,1999,Conjunto
1938,1994,Milonga
1938,1994,Serranera
1912,1970,Bal-musette
1912,1970,Gypsy jazz
1912,1970,Romani music
1912,1970,Continental jazz
1913,2006,Hindustani classical music
1913,2006,Thumri
1913,2006,Bhajan
1913,2006,Khyal
1913,2006,Abhang
1936,2013,Soul jazz
1936,2013,Vocal jazz
1936,2013,South African jazz
1975,1995,Finnish tango
1966,2006,Sung poetry
1966,2006,Theatre
1920,1974,Pop music
1920,1974,Rhythm and blues
1920,1974,Jazz
1956,2011,Heavy metal music
1969,2005,Rock music
1960,2013,Power pop
1960,2013,Jangle pop
1959,2007,Funk
1959,2007,Rock music
1959,2007,Rhythm and blues
1959,2007,Hip hop music
1948,2012,Avant-garde jazz
1979,2008,Blues
1979,2008,Soul music
1968,2008,Soul music
1968,2008,New jack swing
