birthYear, deathYear, genre 
1955,2004,Punk rock
1955,2004,Glam rock
1931,2010,Jazz
1953,2014,Pop music
1953,2014,Glam rock
1921,2013,Persian traditional music
1965,2011,Rap rock
1965,2011,Hip hop music
1965,2011,Golden age hip hop
1913,2008,Samba
1902,1969,St. Louis blues (music)
1934,2012,Rhythm and blues
1942,2001,Folk music of Ireland
1946,2008,Folk music
1946,2008,Folk music of Ireland
1935,1994,Hard bop
1935,1994,Jazz
1912,2001,Blues
1912,2001,Boogie-woogie
1949,2014,Blues
1949,2014,Soul music
1943,2011,Folk music
1943,2011,Pop music
1943,2011,Rock music
1939,1999,Blues
1939,1999,Rhythm and blues
1939,1999,Boogie-woogie
1908,1986,Country music
1908,1986,Old-time music
1931,1994,Brass band
1930,2001,Gospel music
1930,2001,Traditional black gospel
1975,2007,Alternative rock
1930,2010,Piedmont blues
1925,2001,Electric blues
1925,2001,Texas blues
1942,1973,Folk music
1942,1973,Progressive rock
1942,1973,Folk rock
1877,1923,Opera
1884,1975,20th-century classical music
1916,1998,Jazz
1907,1978,Blues
1907,1978,Delta blues
1952,2000,Industrial music
1952,2000,Avant-garde music
1908,1985,Blues
1908,1985,Boogie-woogie
1938,2008,Blues
1938,2008,Soul music
1896,1987,Country blues
1913,1999,Torch song
1935,2010,Bolero
1935,2010,Latin music (genre)
1922,2010,Classical music
1921,1995,Folk music
1940,1996,Samba
1972,2009,Hip hop music
1972,2009,Turntablism
1950,1985,Blues
1950,1985,Folk music
1950,1985,Rock music
1942,2010,Blues
1942,2010,Soul music
1941,1985,Blues
1941,1985,Swamp pop
1940,1967,Rock and roll
1907,1944,Jazz
1940,2007,Pop music
1973,2000,Salsa music
1973,2000,Merengue music
1973,2000,Cuarteto
1959,2007,Southern gospel
1924,2008,Hindustani classical music
1929,1973,Folk music
1929,1973,Nueva canción
1929,1973,Music of Chile
1930,1966,Bebop
1924,1994,Folk music
1960,2013,Jazz fusion
1957,2004,Reggae
1979,2009,Folk music of Punjab
1943,2007,Folk music
1943,2007,Bluegrass music
1939,1997,Pop music
1939,1997,Rock and roll
1939,1997,Rhythm and blues
1931,2014,Jazz
1940,1992,Pop music
1940,1992,Rock music
1939,2003,Pop music
1939,2003,Rock and roll
1939,2003,Rockabilly
1950,1990,Rhythm and blues
1950,1990,Soul music
1935,2008,Jazz
1928,1953,Bebop
1928,1953,Jazz
1934,1999,Rhythm and blues
1934,1999,Jazz
1903,1996,Blues
1931,2002,Rhythm and blues
1931,2002,Louisiana blues
1931,2002,Electric blues
1922,2015,Country music
1922,2015,Rhythm and blues
1922,2015,Soul music
1922,2015,Traditional pop music
1922,2015,Jazz
1913,1989,Jazz
1885,1983,Bolero
1885,1983,Bambuco
1885,1983,Son (music)
1885,1983,Canción
1885,1983,Guaracha
1885,1983,Trova
1885,1983,Criolla
1941,2004,Bossa nova
1941,2004,Música popular brasileira
1897,1981,Polka
1897,1981,Tango
1897,1981,March (music)
1897,1981,Waltz
1897,1981,Pasodoble
1897,1981,Vals criollo
1928,2011,Traditional pop music
1928,2011,Barbershop music
1928,2011,Jazz
1914,1974,Pop music
1914,1974,Swing music
1920,1994,Jazz
1938,2005,Hard bop
1938,2005,Jazz
1947,2010,Zydeco
1916,2004,Contemporary classical music
1929,1969,Pop music
1929,1969,Rock and roll
1929,1969,Rhythm and blues
1924,2003,Big band
1924,2003,Swing music
1924,2003,Cool jazz
1892,1958,Bluegrass music
1892,1958,Old-time music
1919,1978,Country music
1956,1997,Country music
1907,1983,Rhythm and blues
1907,1983,Jump blues
1944,2008,Reggae
1944,2008,Ska
1944,2008,Rocksteady
1922,2011,Pop music
1922,2011,Opera
1930,2010,Bluegrass music
1930,1983,Folk music
1930,1983,Opera
1945,2013,Classical music
1936,1999,Rhythm and blues
1936,1999,Soul music
1903,1977,Classic female blues
1939,2009,Country music
1947,2010,Tango music
1951,2006,Reggae
1936,1964,Rhythm and blues
1936,1990,Jazz
1933,2012,Jazz
1945,1982,Heavy metal music
1945,1982,Psychedelic rock
1945,1982,Rock music
1945,1982,Hard rock
1945,1982,Blues rock
1923,2003,Country music
1935,2014,Country music
1935,2014,Bluegrass music
1935,2014,Rockabilly
1946,2015,Pop music
1946,2015,Rock music
1946,2015,Schlager music
1910,2004,Classical music
1914,1998,Indian classical music
1928,2009,Indian classical music
1902,1945,Country blues
1902,1945,Texas blues
1917,2013,Country music
1917,2013,Rockabilly
1938,2010,Kamrupi Lokgeet
1940,2003,Bebop
1940,2003,Modal jazz
1940,2003,Free jazz
1940,2003,Hard bop
1940,2003,Latin jazz
1940,2003,Post-bop
1901,1980,Tango music
1955,2009,New wave music
1955,2009,Post-punk
1942,2004,Jazz
1960,2012,Reggae
1902,1974,Hindustani classical music
1902,1974,Thumri
1928,2009,Thumri
1928,2009,Bhajan
1928,2009,Khyal
1900,1972,Music of Hawaii
1934,1979,Country music
1934,1979,Rock and roll
1934,1979,Rhythm and blues
1934,1979,Rockabilly
1957,2000,Reggae
1957,2000,Roots reggae
1957,2000,Lovers rock
1924,1951,Jazz
1931,2009,Jazz
1934,1998,Jazz
1888,1982,Jazz
1930,1993,Country music
1930,1993,Bluegrass music
1966,2015,Reggae
1966,2015,Dancehall
1926,1973,Country music
1927,2012,Bebop
1927,2012,Hard bop
1927,2012,Jazz
1921,2001,Western swing
1890,1976,Big band
1890,1976,Jazz
1930,1995,Country music
1930,1995,Country rock
1923,2003,Country music
1949,2009,Blues rock
1945,2010,Pop music
1945,2010,Blue-eyed soul
1929,2008,Australian country music
1941,2013,Pop music
1941,2013,Rock music
1953,2014,Blues
1953,2014,Pop music
1953,2014,World music
1953,2014,Carnatic music
1953,2014,Indian classical music
1953,2014,Hindustani classical music
1944,2013,Rock music
1944,2013,Brega
1912,2003,Classical music
1975,2011,Pop rock
1956,2003,Rock music
1956,2003,Glam rock
1956,2003,Hard rock
1956,2003,Power pop
1912,1988,Soul music
1912,1988,Jazz
1916,2003,Classical music
1916,2003,Cha-cha-chá (music)
1928,2009,Classical music
1976,2011,Hip hop music
1924,1976,Classical music
1940,2013,Rhythm and blues
1940,2013,Soul music
1933,2009,Bluegrass music
1956,1994,Heavy metal music
1956,1994,Hard rock
1957,2009,Girl group
1957,2009,Jazz
1946,1990,Rock music
1948,1999,Blues
1939,2008,Rhythm and blues
1939,2008,Soul music
1946,2007,Rock music
1956,2011,Classical music
1942,2010,Folk rock
1942,2010,Surf music
1942,2010,Psychedelic folk
1942,2010,Pop rock
1963,2010,Grunge
1930,2014,Traditional pop music
1930,2014,Swing music
1914,1991,Big band
1914,1991,Swing music
1953,1990,Punk rock
1953,1990,Rock music
1953,1990,Proto-punk
1943,2008,Psychedelic rock
1943,2008,Art rock
1943,2008,Progressive rock
1943,2008,Experimental rock
1943,2008,Electronic music
1943,2008,Jazz
1930,1977,West Coast jazz
1940,2013,Pop music
1956,1992,Punk rock
1956,1992,Rock and roll
1956,1992,Post-punk
1950,1981,Pop music
1950,1981,Rock music
1950,1981,Reggae
1924,2013,Bossa nova
1924,2013,Jazz
1955,2011,Country music
1943,2012,Pop music
1876,1952,Christian music
1917,2010,Indian classical music
1933,1976,Film score
1933,1976,Classical music
1928,1986,Folk music
1928,1986,Sevdalinka
1928,1986,Music of Bosnia and Herzegovina
1917,1981,Hindustani classical music
1954,1992,Music of Latin America
1954,1992,Vallenato
1937,1994,Jazz
1913,1999,Hindustani classical music
1931,2014,Hindustani classical music
1920,2002,Tarana
1920,2002,Ghazal
1920,2002,Thumri
1920,2002,Khyal
1956,2010,Pop music
1951,1997,Blues
1951,1997,Blues rock
1951,1997,Contemporary folk music
1951,1997,New Acoustic Music
1951,1997,Americana (music)
1951,1997,American Primitive Guitar
1924,2011,Pop music
1924,2011,Easy listening
1924,2011,Chanson
1924,2011,Classical music
1924,2011,Adult contemporary music
1956,1997,Rock and roll
1956,1997,Rock music
1956,1997,Hard rock
1923,2001,Hiragasy
1947,1978,Salsa music
1947,1978,Latin soul
1911,1997,Rhythm and blues
1911,1997,Jazz
1893,1984,Country music
1929,2010,Jazz
1923,2015,Jazz
1910,1957,Country blues
1910,1957,Piedmont blues
1940,2010,Carnatic music
1940,2010,Composer
1940,2010,Music director
1928,1990,Carnatic music
1928,1990,Playback singer
1932,1991,Film score
1921,1992,Playback singer
1921,1992,Devotional song
1992,2013,Funk ostentação
1984,2013,Funk carioca
1938,2007,Instrumental
1939,2013,Rockabilly
1909,1960,Opera
1909,1960,Classical music
1941,2011,Hindustani classical music
1922,2000,Playback singer
1952,2007,Soukous
1955,2012,Pop music
1955,2012,Rock and roll
1978,2000,Gangsta rap
1978,2000,Hip hop music
1982,2010,Hip hop music
1971,2008,Pop music
1971,2008,Dance-pop
1945,2010,Rock music
1945,2010,Jazz
1947,2012,Rhythm and blues
0004,1994,Pop music
0004,1994,Rhythm and blues
0004,1994,Soul music
1961,1999,Duet
1961,1999,Folk music of Punjab
1930,2009,Hindustani classical music
1944,2003,Traditional pop music
1929,2010,Traditional pop music
1900,1997,Salegy
1945,1980,Richeria
1945,1980,Polca
1936,1999,Blues
1936,1999,Bossa nova
1936,1999,Jazz
1954,2014,Folk music
1954,2014,World music
1954,2014,Pop rock
1888,1937,Thumri
1888,1937,Bhajan
1888,1937,Khyal
1919,1993,Levenslied
1922,2001,Bebop
1922,2001,Big band
1922,2001,Latin jazz
1908,1994,Jazz
1931,2011,Bolero
1931,2011,Son (music)
1931,2011,Guajira (music)
1921,2003,Pop music
1921,2003,World music
1921,2003,Latin music (genre)
1921,2003,Jazz
1906,1971,Jazz
1945,2011,Qawwali
1945,2011,Ghazal
1953,1998,Rock music
1961,2001,Rock music
1947,1989,Jazz
1927,1977,Country music
1927,1977,Folk music
1927,1977,Gospel music
1917,1989,List of traditional Irish singers
1917,1989,Sean-nós song
1899,1967,Non-fiction
1899,1967,Fiction
1960,1995,New wave music
1960,1995,Punk rock
1978,2003,Folk music
1978,2003,Indie rock
1925,1994,Gospel
1920,1978,Country music
1954,2009,Country blues
1954,2009,Australian rock
1902,1962,Big band
1942,2015,Pop music
1949,1973,Folk music
1949,1973,Pop music
1949,1973,Folk rock
1928,2008,Carnatic music
1908,1994,Big band
1908,1994,Swing music
1911,1985,Jazz
1941,2016,Reggae
1941,2016,Soul music
1941,2016,Latin ballad
1941,2016,Kaseko
1918,1980,Fado
1911,1987,Jazz
1911,1987,Swing (jazz performance style)
1925,1995,Country blues
1925,1995,Electric blues
1891,1970,Blues
1891,1970,Rock music
1891,1970,Jazz
1891,1970,Music of Hawaii
1952,1997,Persian pop music
1952,1997,Persian traditional music
1957,2009,Pop music
1957,2009,Reggae
1990,2011,Pop music
1925,1981,Playback singer
1953,2013,Ghazal
1953,2013,Playback singer
1937,2007,Folk music
1913,1986,Sonnet
1913,1986,Ghazal
1913,1986,Nazm
1913,1986,Ruba'i
1913,1986,Geet (song)
1913,1986,Qat'aa
1942,1999,Blues
1942,1999,Folk music
1942,1999,Folk rock
1932,1975,Blues
1932,1975,Rhythm and blues
1926,1999,Jazz
1915,1976,Blues
1936,2013,Hard bop
1936,2013,Jazz
1946,2011,Hard bop
1946,2011,Soul jazz
1946,2011,Twelve-bar blues
1911,1993,Memphis blues
1911,1993,Piedmont blues
1922,1996,Afro (genre)
1922,1996,Santería
1919,2015,Folk music
1902,1963,Makam
1902,1963,Ottoman classical music
1742,1792,Tappa
1957,2012,Electric blues
1957,2012,Blues rock
1957,2012,Soul blues
1956,2014,Funk
1956,2014,Soul music
1956,2014,Chicago blues
1956,2014,Electric blues
1956,2014,Soul blues
1943,2012,Rock music
1956,2004,Ambient music
1956,2004,Electronic music
1969,2008,Hard rock
1946,2006,Ambient music
1946,2006,Soul music
1946,2006,Jazz
1946,2006,Avant-garde music
1947,1995,Country music
1946,2016,Pop music
1946,2003,Jazz
1968,2008,Heavy metal music
1968,2008,Hard rock
1919,1998,Chanson
1978,2013,Heavy metal music
1978,2013,Punk rock
1978,2013,Hardcore punk
1978,2013,Hard rock
1978,2013,Alternative metal
1978,2013,Metalcore
1955,2009,Rock music
1932,1995,Jazz
1951,1987,Folk music
1951,1987,Music of Ireland
1944,2009,Rock and roll
1944,2009,Rockabilly
1962,2009,Heavy metal music
1962,2009,Progressive metal
1927,1999,Chicago blues
1943,2015,Blues
1943,2015,Rhythm and blues
1943,2015,Soul music
1961,2006,Son (music)
1961,2006,Afro-Cuban jazz
1961,2006,Conga (music)
1961,2006,Cuban rumba
1961,2006,Songo music
1961,2006,Santería
1950,2005,Latin ballad
1942,1983,Music of Puerto Rico
1912,1978,Bolero
1912,1978,Son (music)
1912,1978,Guaracha
1978,2012,Chamber music
1928,1989,Jazz
1977,2009,Thrash metal
1963,2008,Progressive rock
1963,2008,Progressive metal
1947,1975,Pop music
1916,1972,Big band
1916,1972,Swing music
1948,2010,Rock music
1948,2010,Classical music
1940,2005,Jazz
1948,2013,Soul music
1948,2013,Gospel music
1926,2014,Pop music
1926,2014,Rhythm and blues
1959,2002,New wave music
1959,2002,Rock music
1959,2002,Post-punk
1957,2008,Blues
1957,2008,Pop music
1957,2008,Rock music
1957,2008,Rhythm and blues
1951,2014,Early music
1951,2014,Baroque music
1820,1846,Fado
1789,1831,Classical music
1857,1956,Classical music
1920,2006,Country music
1920,2006,Gospel music
1920,2006,Christian music
1931,1992,Jazz
1926,2014,Tango music
1928,2004,Flamenco
1913,2002,Soundtrack
1913,2002,Chamber music
1885,1960,Popular music
1896,1944,Blues
1896,1944,Pop music
1896,1944,Jazz
1935,1999,Country music
1935,1999,Pop music
1947,2006,Psychedelic rock
1947,2006,Pop music
1947,2006,Jazz
1960,2004,Rhythm and blues
1960,2004,Pop-rap
1960,2004,Hip hop music
1961,2012,Heavy metal music
1961,2012,Hard rock
1961,2012,Southern rock
1955,2012,Heavy metal music
1955,2012,Speed metal
1955,2012,Hard rock
1955,2012,Power metal
1960,2009,Funk
1960,2009,Folk rock
1960,2009,Jazz
1955,2015,Electronic music
1955,2015,Improvisation
1955,2015,Installation art
1948,2011,Psychedelic rock
1948,2011,Rock music
1948,2011,Garage rock
1939,2002,Pop music
1965,2005,Punk rock
1965,2005,Glam metal
1921,1998,Gospel music
1921,2004,Country music
1944,2010,Jazz
1571,1651,Classical music
1909,1975,Swing music
1909,1975,Jazz
1909,1975,Dixieland
1941,2011,Soul music
1948,2010,Blues
1966,2012,Pop music
1966,2012,Rhythm and blues
1966,2012,Soul music
1966,2012,Gospel music
1946,2011,Blues
1946,2011,Soul music
1946,2011,Gospel music
1950,1985,Gospel music
1950,1985,Contemporary R&B
1950,1985,Traditional black gospel
1950,1985,Urban contemporary gospel
1950,1985,Christian R&B
1900,1970,Classic female blues
1943,2013,Soul music
1943,2013,Gospel music
1956,2013,Classical music
1925,2014,Southern gospel
1925,2014,Christian music
1895,1965,Trova
1971,2011,Meykhana
1938,1995,Playback singer
1986,2015,Dancehall
1916,1981,Cinema of India
1918,1989,Bal-musette
1918,1989,Gypsy jazz
1918,1989,Romani music
1918,1989,Continental jazz
1983,2014,Grindcore
1983,2014,Progressive metal
1983,2014,Power metal
1983,2014,Jazz fusion
1983,2014,Neoclassical metal
1919,1999,Old-time music
1919,1999,Clawhammer
1956,2003,Alternative rock
1956,2003,Post-punk
1961,2009,Blue-eyed soul
1961,2009,Smooth jazz
1961,2009,Italo disco
1961,2009,Pop rock
1961,2009,Chill-out music
1937,2012,Pop music
1937,2012,Rock and roll
1937,2012,Jazz
1896,1953,Jazz
1946,2006,Rock music
1941,2007,Jazz
1965,2012,Blues
1965,2012,Country music
1965,2012,Thrash metal
1965,2012,Industrial metal
1949,2013,Blues
1949,2013,Country music
1949,2013,Folk music
1949,2013,Rock music
1949,2013,Jazz
1930,2010,Cool jazz
1930,2010,Jazz
1973,2013,Punk rock
1973,2013,Folk rock
1973,2013,Horror punk
1962,2002,Russian chanson
1930,2005,Jazz
1930,2005,Rock and roll
1930,2005,Beat music
1905,1986,Baroque music
1902,1969,Jazz
1917,2005,Jazz
1916,1977,Pop music
1916,1977,Swing music
1916,1977,Jazz
1931,2001,Jazz
1929,1997,Gospel music
1929,1997,Traditional black gospel
1895,1941,Classical music
1984,2012,Deathcore
1966,2013,Eurodance
1966,2013,Techno
1918,1966,Arabic music
1918,1966,Music of Egypt
1941,2014,Music of Somalia
1947,2014,Persian traditional music
1929,2010,Classical music
1929,2010,Persian pop music
1905,1980,Klasik
1898,1962,Hindustani classical music
1898,1962,Natya Sangeet
1963,2009,Oud
1963,2009,Arabic music
1963,2009,Oriental_Jazz
1926,2003,Jazz
1926,2003,Music of Guinea
1923,1983,Opera
1921,1982,Jazz
1924,1973,Samba
1903,1954,Boogie-woogie
1903,1954,Piano blues
1986,1986,Heavy metal music
1986,1986,Hard rock
1986,1986,Metalcore
1986,1986,Post-hardcore
1942,2011,Early music
1908,1988,Chicago blues
1950,2011,Rock music
1973,2001,Heavy metal music
1915,1971,Jazz
1984,2014,Persian pop music
1917,1996,Jazz
1917,2002,Blues
1917,2002,Boogie-woogie
1917,2002,Jazz
1932,1984,Louisiana blues
1932,1984,Swamp blues
1945,2011,Country music
1945,2011,Contemporary Jewish religious music
1921,2015,Gospel music
1953,1996,Music of Africa
1953,1996,Music of Sudan
1922,1988,Jazz
1935,1990,Ghazal
1935,1990,Kafi
1935,1990,Classic
1913,1984,Turkish folk music
1948,2004,Playback singer
1952,2014,Country music
1969,2007,Pop music
1969,2007,Latin pop
1911,2010,Classical music
1915,1986,Big band
1915,1986,Swing music
1915,1986,Jazz
1915,1982,Jazz
1966,2002,Hamd
1966,2002,Naat
1920,2005,Chaabi (Algeria)
1920,2005,Andalusian classical music
1937,2013,Chaabi (Algeria)
1947,2010,Folk music
1947,2010,Electronica
1926,2007,Folk music
1926,2007,Popular music
1801,1872,Folk music
1917,2011,Vocal jazz
1865,1961,Carnatic music
1907,1981,Samba
1903,1974,Classical music
1953,2013,Rock music
1953,2013,Arabesque (Turkish music)
1953,2013,Pop-folk
1918,2015,Ottoman classical music
1977,2011,Pop music
1967,2010,Disco
1967,2010,Folk music
1967,2010,Pop music
1967,2010,Folklore
1967,2010,Easy listening
1956,1995,Jazz
1925,2008,Country music
1925,2008,Big band
1929,2006,Rock and roll
1950,1999,Country music
1927,2008,Hard bop
1927,2008,Jazz
1901,1949,Jazz
1936,2006,Pop music
1922,1987,Sean-nós song
1975,2011,Disco
1975,2011,Pop music
1975,2011,Pop rock
1975,2011,Pop-folk
1937,1970,Soul music
1937,1970,Northern soul
1962,2006,Punk rock
1962,2006,Alternative rock
1951,2013,Punk rock
1951,2013,Psychedelic rock
1951,2013,Hard rock
1927,1987,Film score
1959,2008,Pop music
1959,2008,Rock music
1959,2008,Jazz
1956,2015,Outsider music
1956,2015,Garage rock
1956,2015,Lo-fi music
1956,2015,Experimental rock
1941,2009,Pop music
1941,2009,Rock music
1941,2009,Beat music
1941,2000,Big band
1941,2000,Cool jazz
1941,2000,West Coast jazz
1934,1991,Folk music
1934,1991,World music
1980,2006,Hard rock
1980,2006,Glam metal
1938,1998,Rhythm and blues
1943,2000,Rock music
1943,2000,Blues rock
1943,2000,Boogie rock
1938,2015,World music
1938,2015,Latin jazz
1938,2015,Brazilian jazz
1937,1988,Rhythm and blues
1923,2005,Big band
1923,2005,Jazz
1940,2003,Rock and roll
1940,2003,Rhythm and blues
1940,2003,Jazz
1958,1991,New wave music
1958,1991,Punk rock
1958,1991,Alternative rock
1958,1991,Post-punk
1883,1963,Revue
1883,1963,Broadway theatre
1883,1963,Show tune
1920,1989,Western swing
1922,1985,Folk music
1922,1985,Pop music
1922,1985,Jazz
1937,1987,Rock and roll
1937,1987,Rockabilly
1941,1982,American folk music revival
1943,1964,Rock and roll
1943,1964,Rockabilly
1962,1995,Dance music
1945,2013,Pop rock
1946,2009,Reggae
1932,1979,Jazz
1888,1956,Jazz
1966,2010,Folk music
1966,2010,Rock and roll
1966,2010,Contemporary Christian music
1914,2002,Western music (North America)
1926,2014,Classical music
1942,1982,Disco
1942,1982,Funk
1942,1982,Rhythm and blues
1942,1982,Soul music
1970,2013,Black metal
1970,2013,Death metal
1936,1993,Country music
1916,2013,Classical music
1952,2011,Jazz
1955,2005,Rhythm and blues
1955,2005,Quiet storm
1930,1982,Mariachi
1930,1982,Ranchera
1961,2014,Country music
1961,2014,Ameripolitan
2012,2022,Electronica
2012,2022,Hip hop music
2012,2022,Electroacoustic music
2012,2022,Hip hop production
1955,2009,Hard rock
1965,1994,Reggae
1965,1994,Lovers rock
1939,1985,Folk music
1926,2009,Rock music
1938,1990,Rhythm and blues
1938,1990,Soul music
1945,2006,Soul music
1965,2012,Rhythm and blues
1902,1977,Big band
1939,2008,Blues
1939,2008,Country music
1939,2008,Rock music
1939,2008,Gospel music
1946,2010,Rock and roll
1946,2010,Rhythm and blues
1946,2010,Soul music
1945,1979,World music
1945,1979,Art rock
1945,1979,Progressive rock
1945,1979,Jazz fusion
1945,1979,Experimental music
1943,2006,Pop music
1943,2006,Rock music
1943,2006,Beat music
1916,1979,Jazz
1922,1960,Big band
1893,1989,Cajun music
1951,2002,Music of Hawaii
1944,1976,Psychedelic rock
1944,1976,Garage rock
1917,1965,Bebop
1945,2013,Jazz
1945,2013,Popular music
1945,2013,Production music
1928,2006,Electronic music
1927,1992,Folk music
1927,1992,Cajun music
1947,1995,Rock music
1947,1995,Progressive rock
1947,1995,Jazz fusion
1927,2014,Khyal
1902,2000,Blues
1902,2000,Gospel music
1902,2000,Vaudeville
1948,1996,Rock music
1944,2002,Rock music
1944,2002,Folk rock
1936,1993,Rock and roll
1936,1993,Rockabilly
1924,1997,Jazz
1936,1995,Blues
1936,1995,Folk music
1936,1995,Ragtime
1909,1980,Jazz
1938,2008,Jazz
1915,2003,Country music
1931,1955,Bebop
1942,1991,Duet
1942,1991,Folk music of Punjab
1949,2008,Blues
1940,1983,Country music
1940,1983,Rock and roll
1916,1977,Choro
1916,1977,Waltz
1923,1984,Ragtime
1923,1984,Swing music
1923,1984,Jazz
1923,1984,Dixieland
1923,1984,Stride (music)
1907,1992,Old-time music
1958,2011,Griot
1948,2012,Laïko
1923,2002,Classical music
1965,1993,Dancehall
1980,2007,Ghettotech
1980,2007,Techno
1980,2007,Electronic music
1964,1989,Punk rock
1964,1989,Garage rock
1964,1989,Post-punk
1918,1992,Cajun music
1947,2014,Rock and roll
1947,2014,Hard rock
1947,2014,Blues rock
1947,2014,Pub rock (Australia)
1915,1951,Jazz
1991,2013,Hip hop music
1987,2009,Hip hop music
1927,1983,Jazz
1864,1934,Music of Puerto Rico
1941,2013,Forró
1941,2013,Choro
1941,2013,Baião (music)
1941,2013,Música popular brasileira
1923,2000,Jazz
1908,1980,Jazz
1927,2012,Jazz
1953,2013,Jazz
1923,2006,Jazz
1923,2006,Classical music
1916,1983,Jazz
1930,2007,Traditional pop music
1930,2007,Hapa_haole_music
1923,1994,Jazz
1920,2003,Bebop
1920,2003,Big band
1920,2003,Swing music
1920,2003,Jazz
1936,2014,Country music
1936,2014,Rock music
1928,2003,Jazz
1941,2010,Folk music
1919,2003,Pop music
1919,2003,Bebop
1919,2003,Big band
1919,2003,Swing music
1919,2003,Cool jazz
1919,2003,West Coast jazz
1927,2013,Pop music
1927,2013,Gospel music
1927,2013,Jazz
1927,2013,Classical music
1933,2013,Jazz
1948,1997,Gospel music
1948,1997,Traditional black gospel
1948,1997,Urban contemporary gospel
1959,2009,Progressive rock
1959,2009,Pinoy rock
1921,1997,Country music
1921,1997,Western music (North America)
1926,2013,Rhythm and blues
1926,2013,Soul music
1926,2013,Jazz
1911,1991,Doo-wop
1911,1991,Gospel music
1911,1991,Comedy
1965,2002,Reggae
1965,2002,Contemporary R&B
1965,2002,Dance music
1923,1995,Gospel music
1922,1998,Blues
1922,1998,Bebop
1922,1998,Swing music
1922,1998,Jazz
1922,1998,Classical music
1910,1996,Opera
1921,1978,Pop music
1921,1978,Novelty song
1952,2010,New wave music
1952,2010,Rock music
1952,2010,Power pop
1966,2006,Heavy metal music
1966,2006,Speed metal
1966,2006,Thrash metal
1966,2006,Groove metal
1930,2010,Southern gospel
1930,2010,Christian music
1950,1979,Jazz fusion
1950,1979,Jazz
1960,1989,Film score
1949,2011,Blues
1949,2011,Rhythm and blues
1936,2007,Country music
1936,2007,Rockabilly
1936,2007,Bakersfield sound
1944,2007,Jazz
1944,2007,Afro pop music
1907,2013,Classical music
1962,1986,New wave music
1962,1986,Rock music
1962,1986,Hard rock
1962,1986,Pop rock
1953,2006,Hard rock
1953,2006,Southern rock
1941,2014,Blues
1941,2014,Rock and roll
1922,2006,Bebop
1938,2006,Blues
1941,2011,Blues
1941,2011,Folk music
1941,2011,Jazz
1948,2007,Rock music
1948,2007,Rhythm and blues
1948,2007,Soul music
1948,2007,Jazz
1943,2016,Popular music
1924,2000,Carnatic music
1893,1964,Hindustani classical music
1970,2013,Post-bop
1970,2013,Jazz
1928,1991,Carnatic music
1928,1991,Playback singer
1921,1955,Hindustani classical music
1968,2014,Dance music
1949,2008,Disco
1949,2008,Soul music
1978,2011,Hip hop music
1977,2011,House music
1977,2011,Hip hop music
1979,2014,Ghetto house
1979,2014,Footwork (Chicago)
1979,2014,Electronic music
1971,2000,Southern hip hop
1971,2000,Chopped and screwed
1973,1993,Hip hop music
1969,2001,Southern hip hop
1969,2001,Miami bass
1987,2010,Hip hop music
1867,1963,Traditional pop music
1867,1963,Country blues
1867,1963,Cajun music
1867,1963,Mariachi
1867,1963,Jug band
1938,2015,Psychedelic rock
1938,2015,Progressive rock
1967,2011,Hard rock
1967,2011,Glam metal
1925,1980,Chaabi (Algeria)
1930,2007,Blues
1930,2007,Rhythm and blues
1930,2007,Soul music
1930,2007,Jazz
1936,1992,Country music
1940,1994,Rhythm and blues
1940,1994,Soul music
1940,1994,Classical music
1948,2015,Rock and roll
1948,2015,Country rock
1900,1951,Folk_pop_jazz_Americana
1896,1956,Memphis blues
1896,1956,Country blues
1859,1938,Ragtime
1913,2009,Greek folk music
1913,2009,Greek National Opera
1878,1953,Classical music
1982,2009,Ambient music
1982,2009,Electronic music
1982,2009,Independent music
1936,2008,Blues
1936,2008,Jazz
1936,2008,Romani music
1925,1985,Romani music
1926,2004,Chicago blues
1926,2004,Soul blues
1929,1989,Film score
1948,2013,Dangdut
1951,2015,World music
1951,2015,Folk rock
1951,2015,Soft rock
1925,2014,Opera
1926,1999,Classical music
1927,2011,Hindustani classical music
1957,2008,Jazz
1975,2008,Indie pop
1815,1896,Traditional Nordic dance music
1908,1971,Film score
1928,2013,Folk music
1928,2013,Pop music
1928,2013,Choir
1928,2013,Classical music
1955,1980,Country rock
1895,1957,Country music
1895,1957,Folk music
1895,1957,Gospel music
1936,1991,Chicago blues
1936,1991,Electric blues
1936,1991,Soul blues
1929,1991,Electric blues
1944,2011,Jazz
1949,1991,Pop music
1949,1991,Jazz
1927,2009,Electronic music
1927,2009,Musique concrète
1927,2009,Electroacoustic music
1927,2009,Classical music
1927,2009,Acousmatic music
1906,1974,Samba
1955,1985,Pop music
1955,1985,Rock and roll
1955,1985,Hard rock
1955,1985,Rockabilly
1983,2009,Punk rock
1983,2009,Rockabilly
1983,2009,Psychobilly
1967,2000,Rock music
1932,1999,Jazz
1914,1975,Folk music
1978,2014,Pop music
1978,2014,Chalga
1927,2013,Opera
1927,2013,Romanian popular music
1937,1991,Pop music
1883,1974,Hindustani classical music
1945,1984,Pop music
1820,1903,Swedish folk music
1944,2010,Gospel music
1944,2010,Schlager music
1889,1960,Children's music
1913,1999,Big band
1913,1999,Jazz
1944,1996,Ambient music
1944,1996,New-age music
1944,1996,Space music
1912,1997,Traditional pop music
1945,1977,Rhythm and blues
1945,1977,Soul music
1924,2006,Rhythm and blues
1924,2006,Jump blues
1926,2000,Pop music
